@relation train

@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute r {TRUE,FALSE}

@data
-0.438767,-1.449451,-0.287159,-1.487338,-0.290726,-0.689647,-0.932385,-0.222073,0.655437,1.275742,0.256421,-0.008832,0.571706,1.144405,0.164045,0.452244,-0.441267,0.059517,0.164485,0.563716,0.060026,TRUE
-1.234372,-2.140147,0.490069,-1.495915,-0.061311,-1.263604,0.023025,-2.443402,-0.92311,5.186081,0.53011,-1.080038,-0.171065,-0.232884,-0.620355,-0.967238,-0.5462,-0.751226,-0.101399,1.322367,0.205583,TRUE
1.301869,-1.211117,-0.493962,-0.80288,0.91068,-2.253269,-1.278659,-2.778775,-0.64074,1.713184,0.868685,-1.186092,1.401705,0.609117,-1.522747,-0.962806,1.442344,-1.165052,-0.794109,3.152182,-1.532284,TRUE
0.126816,-1.87674,-0.859242,-0.672859,-0.559689,-0.917039,-1.514379,-1.332792,-0.25153,-0.355648,-1.401298,-0.856091,0.885474,0.25626,-0.375098,1.924429,2.784445,2.737736,-1.410691,-0.696144,1.119992,TRUE
0.963762,-0.899122,1.048547,2.550922,-0.161055,-0.985975,0.604439,3.612399,-0.2807,0.149015,0.471227,-1.788398,-0.118802,-0.992772,-1.690424,-2.290807,-1.859699,-2.076936,-0.687078,0.27169,0.738349,FALSE
5.651765,2.305351,0.23381,-1.01414,1.860173,-0.935131,-0.213088,-0.061617,-1.233888,-0.294412,0.976709,-2.58709,1.308659,-0.165906,0.14906,-2.359989,-1.94291,-1.273172,-1.991511,-0.998568,-0.790433,FALSE
-0.791348,-0.764771,0.762103,0.876645,3.330564,-0.545141,0.244977,-0.456226,-0.951074,0.798582,0.027118,-2.224445,-0.602816,1.675654,-2.141728,-1.516463,-0.38651,-2.365667,-0.805797,0.865505,-0.860127,FALSE
-0.453958,-2.27286,0.005617,2.0038,-0.448241,-1.264942,0.323844,-2.043166,-0.624299,0.957376,0.007372,-2.362738,0.556534,-0.869609,-1.190184,1.044771,2.980261,-1.041783,-0.724539,3.127964,-0.904072,TRUE
-2.031754,-1.341564,-0.864331,-1.342222,0.06635,-1.544859,-0.674666,-1.502879,-0.872676,3.683978,0.042156,-0.942055,0.546878,-0.237519,-1.160438,-1.452252,0.249833,-0.937175,2.307644,5.568989,-1.36114,TRUE
-0.120412,-1.730342,-0.234128,0.641156,-0.884173,-0.764903,-0.811509,-1.867778,1.751731,0.223576,-0.216513,-1.379842,0.124866,-0.672075,-1.662076,2.414802,1.631935,-0.169916,-1.128546,1.029902,0.766793,TRUE
0.929604,0.047976,-0.924839,-1.419473,2.881187,-0.10642,-0.948645,0.386383,0.579687,-0.254951,-0.28523,-1.434607,-0.308208,-0.735062,-1.748924,-0.462035,-0.335676,-0.808676,-1.284906,1.413118,0.178354,FALSE
